Symbol,Date,Open,High,Low,Close,Adj Close,Volume
TCS,06-02-2015,1276.5,1297.400024,1275.430054,1287.880005,1106.415283,2136416
TCS,09-02-2015,1280.75,1284.550049,1250,1256.449951,1079.413452,2076432
TCS,10-02-2015,1255,1263.119995,1216.5,1220.569946,1048.589111,3799054
TCS,11-02-2015,1227.530029,1243.619995,1223.619995,1229.949951,1056.647461,2937522
TCS,12-02-2015,1239.900024,1239.900024,1223.5,1231.069946,1057.609375,3107980
TCS,13-02-2015,1235,1273.880005,1230.119995,1269.380005,1090.521729,4158326
TCS,16-02-2015,1280,1297.5,1277.5,1292.400024,1110.29834,2364392
TCS,18-02-2015,1292.530029,1321.5,1282.619995,1317.819946,1132.136108,2660014
TCS,19-02-2015,1318,1343.650024,1317.5,1340.530029,1151.646729,2618002
TCS,20-02-2015,1349.400024,1349.400024,1321.119995,1337.780029,1149.284058,1801588
TCS,23-02-2015,1335.5,1361,1335.5,1348.319946,1158.338745,1614892
TCS,24-02-2015,1347,1365,1339.5,1352.380005,1161.82666,2199922
TCS,25-02-2015,1355,1361,1333.930054,1336.099976,1147.840576,1767994
TCS,26-02-2015,1339.5,1346.380005,1312.680054,1328.219971,1141.070801,1991994
TCS,27-02-2015,1329.719971,1337.880005,1308.150024,1331.180054,1143.614014,2877376
TCS,02-03-2015,1339.849976,1354.469971,1326.280029,1334.699951,1146.637939,2176038
TCS,03-03-2015,1341,1395,1338.069946,1388,1192.427979,3424308
TCS,04-03-2015,1394,1406.050049,1357.819946,1373,1179.54126,3862994
TCS,05-03-2015,1375,1385.349976,1340.530029,1348.219971,1158.253052,2173514
TCS,09-03-2015,1320,1339.900024,1305,1323.400024,1136.930176,2883174
TCS,10-03-2015,1324.449951,1339.119995,1297.619995,1321.349976,1135.168823,3037052
TCS,11-03-2015,1321,1329.969971,1298.900024,1303.280029,1119.645264,2240200
TCS,12-03-2015,1311.949951,1312.449951,1295.050049,1309.530029,1125.014648,1827636
TCS,13-03-2015,1319,1319.969971,1287.5,1291.180054,1109.25,1586838
TCS,16-03-2015,1292.599976,1305,1276,1281.150024,1100.633545,1556296
TCS,17-03-2015,1291.25,1303.349976,1278.880005,1291.849976,1109.825317,1267318
TCS,18-03-2015,1295.469971,1299.719971,1275.849976,1279.680054,1099.370483,1255170
TCS,19-03-2015,1288,1302.930054,1284.050049,1298.119995,1115.211914,2448964
TCS,20-03-2015,1298,1309,1289.430054,1305.469971,1121.526489,1963908
TCS,23-03-2015,1308,1315.5,1303,1308.569946,1124.189331,1566608
TCS,24-03-2015,1315,1318.5,1291.050049,1295.650024,1113.089966,2394878
TCS,25-03-2015,1295.699951,1307,1272.599976,1286.880005,1105.555908,2224858
TCS,26-03-2015,1276.650024,1293.349976,1250.5,1256.550049,1079.499268,3091642
TCS,27-03-2015,1265.5,1285.949951,1252.050049,1257.400024,1080.229736,2751776
TCS,30-03-2015,1262.5,1284.949951,1260,1282.069946,1101.423584,1339006
TCS,31-03-2015,1284.719971,1284.719971,1260.5,1276.969971,1097.042236,2427028
TCS,01-04-2015,1279,1281.800049,1261.119995,1271.319946,1092.188232,2075758
TCS,06-04-2015,1279,1281.449951,1250.050049,1273.650024,1094.190063,1568542
TCS,07-04-2015,1281.219971,1299.5,1272,1292.5,1110.384155,1886922
TCS,08-04-2015,1297,1328.25,1295.430054,1320.699951,1134.610352,1652134
TCS,09-04-2015,1329.5,1343.719971,1317.569946,1332.280029,1144.558716,2544450
TCS,10-04-2015,1324.25,1335.400024,1314,1326.880005,1139.919678,1815544
TCS,13-04-2015,1332,1332.5,1314,1327.75,1140.667114,1308642
TCS,15-04-2015,1327.349976,1356.949951,1304.699951,1313.880005,1128.751465,2913934
TCS,16-04-2015,1313.469971,1313.5,1285.680054,1291.400024,1109.438843,3217570
TCS,17-04-2015,1278.550049,1280,1235,1237.430054,1063.073486,9668742
TCS,20-04-2015,1240.030029,1241.949951,1212.430054,1214.400024,1043.288452,2890722
TCS,21-04-2015,1214.400024,1226,1200.5,1213.530029,1042.541382,2546032
TCS,22-04-2015,1215.75,1236.5,1203.780029,1222.550049,1050.290405,4186812
TCS,23-04-2015,1236,1239.900024,1215.849976,1228.619995,1055.504883,4342990
TCS,24-04-2015,1227.650024,1257,1223.780029,1246.530029,1070.891235,3625158
TCS,27-04-2015,1249.75,1260,1243,1250.099976,1073.958374,2733052
TCS,28-04-2015,1255,1255,1227.550049,1247.5,1071.724243,3088298
TCS,29-04-2015,1242,1247.5,1225.530029,1243.650024,1068.417114,2019620
TCS,30-04-2015,1240,1245,1213.550049,1231.849976,1058.279785,3738054
TCS,04-05-2015,1245.5,1252.400024,1228.599976,1240.780029,1065.951416,1890630
TCS,05-05-2015,1250.5,1268.219971,1250,1258.930054,1081.544312,3255070
TCS,06-05-2015,1257.5,1257.5,1227.900024,1231.530029,1058.004761,3394406
TCS,07-05-2015,1232.449951,1276.880005,1226.849976,1272.619995,1093.304932,3205028
TCS,08-05-2015,1280,1294,1258.150024,1263.619995,1085.573364,3003664
TCS,11-05-2015,1267.5,1281.530029,1262.5,1278,1097.927002,2573082
TCS,12-05-2015,1280,1282.5,1256.5,1261.449951,1083.708984,2467386
TCS,13-05-2015,1273.5,1273.5,1240.219971,1257.699951,1080.487427,1863774
TCS,14-05-2015,1260,1260,1242.5,1249.619995,1073.545898,1309050
TCS,15-05-2015,1257.5,1266.199951,1250.5,1255.569946,1078.657471,1461454
TCS,18-05-2015,1257.050049,1262.619995,1248.550049,1260.199951,1082.635254,4507752
TCS,19-05-2015,1259.699951,1265,1248.380005,1256.349976,1079.327759,1957722
TCS,20-05-2015,1260,1284.949951,1258.449951,1278.530029,1098.382202,1897814
TCS,21-05-2015,1278.5,1290,1274.069946,1277.75,1097.71228,1579578
TCS,22-05-2015,1275,1314.380005,1269.619995,1308.949951,1124.515991,2691632
TCS,25-05-2015,1310,1318.449951,1292.849976,1300.5,1117.256836,982978
TCS,26-05-2015,1302.5,1311.619995,1294.449951,1304.430054,1120.633057,1961740
TCS,27-05-2015,1304,1316.569946,1296,1307.619995,1123.373535,1620690
TCS,28-05-2015,1301.949951,1311.5,1291.119995,1304.75,1120.908081,2763608
TCS,29-05-2015,1308.5,1324.300049,1298.619995,1305.150024,1121.251587,4423532
TCS,01-06-2015,1304.719971,1323.550049,1304.180054,1308.880005,1124.455811,882264
TCS,02-06-2015,1308,1315,1295.25,1299.949951,1116.784302,3935820
TCS,03-06-2015,1302,1312.800049,1295.25,1305.449951,1121.509399,1804684
TCS,04-06-2015,1308.550049,1311.400024,1294.25,1302.819946,1119.250122,4131468
TCS,05-06-2015,1296,1304.5,1285,1287.930054,1127.223267,2308534
TCS,08-06-2015,1295,1295,1280.819946,1288.719971,1127.914307,1570320
TCS,09-06-2015,1292.5,1295,1275.5,1280.819946,1121.000244,2578914
TCS,10-06-2015,1283,1305,1281.900024,1300.380005,1138.119385,2763350
TCS,11-06-2015,1302.75,1306.5,1278.380005,1285.650024,1125.227661,1847336
TCS,12-06-2015,1285.949951,1294.469971,1238.400024,1252.900024,1096.564209,2571456
TCS,15-06-2015,1252.650024,1260.219971,1240.5,1252.400024,1096.126709,2525176
TCS,16-06-2015,1250,1259.650024,1247.219971,1256,1099.277222,1267396
TCS,17-06-2015,1260.5,1264.569946,1250.900024,1256.900024,1100.065308,1975720
TCS,18-06-2015,1257.5,1273.150024,1254,1265.030029,1107.180542,2165046
TCS,19-06-2015,1267.5,1277.5,1263.550049,1274.780029,1115.714233,1999610
TCS,22-06-2015,1273.5,1300,1273.5,1295.75,1134.067261,1102002
TCS,23-06-2015,1300,1304,1283.599976,1287.300049,1126.672119,898318
TCS,24-06-2015,1290,1293.949951,1279.430054,1285.150024,1124.790039,1170246
TCS,25-06-2015,1281,1286.5,1272.069946,1275,1115.906616,1930992
TCS,26-06-2015,1275.099976,1298.180054,1275.099976,1296.400024,1134.636353,1290102
TCS,29-06-2015,1286,1302,1271.699951,1296.449951,1134.680176,1372756
TCS,30-06-2015,1292.5,1294.380005,1270,1275.469971,1116.317627,1549952
TCS,01-07-2015,1281.949951,1304,1278.380005,1296.550049,1134.7677,1279708
TCS,02-07-2015,1300,1301.469971,1285.530029,1288.880005,1128.054932,1445880
TCS,03-07-2015,1286.530029,1305,1285,1301.949951,1139.49353,963470
TCS,06-07-2015,1290.150024,1322.5,1290.150024,1316.650024,1152.359375,1182338
TCS,07-07-2015,1316.380005,1323.449951,1301.5,1308.119995,1144.893921,1642836
TCS,08-07-2015,1298.969971,1310.849976,1290.25,1297.550049,1135.642944,2667850
TCS,09-07-2015,1297.5,1299.119995,1253.319946,1261.25,1103.872192,3934122
TCS,10-07-2015,1279.5,1279.5,1227.5,1237.180054,1082.805908,8263654
TCS,13-07-2015,1237.699951,1259.300049,1237.699951,1254.780029,1098.209717,2280308
TCS,14-07-2015,1255.5,1257.5,1245,1249.75,1093.807373,1703274
TCS,15-07-2015,1250.5,1274.969971,1250,1272.880005,1114.05127,2003660
TCS,16-07-2015,1271.849976,1279.430054,1263.300049,1270.099976,1111.618042,1456608
TCS,17-07-2015,1273.400024,1285.050049,1271.650024,1282.199951,1122.20813,1070526
TCS,20-07-2015,1282,1291.949951,1275.949951,1289.569946,1133.520874,853786
TCS,21-07-2015,1288,1300.180054,1277.550049,1280.699951,1125.724121,1274500
TCS,22-07-2015,1280.5,1284.5,1260.530029,1264.030029,1111.071411,1320628
TCS,23-07-2015,1258.75,1268.930054,1241.5,1244.300049,1093.728882,1496780
TCS,24-07-2015,1248.75,1258.25,1246.050049,1252.569946,1100.997925,1574972
TCS,27-07-2015,1244,1252.5,1240.569946,1248.530029,1097.447144,2003738
TCS,28-07-2015,1249.75,1259.5,1246.069946,1251.030029,1099.644287,1891188
TCS,29-07-2015,1255.5,1257.530029,1241.75,1253.380005,1101.710083,2413318
TCS,30-07-2015,1258.030029,1258.400024,1236.400024,1240.319946,1090.230713,2770574
TCS,31-07-2015,1244.949951,1259.5,1243.5,1255.380005,1103.468018,1963776
TCS,03-08-2015,1251.699951,1262.5,1250.449951,1254.800049,1102.958252,1179324
TCS,04-08-2015,1255.199951,1261.5,1243,1254.449951,1102.650757,2342692
TCS,05-08-2015,1260,1275,1255.5,1273.569946,1119.457153,988994
TCS,06-08-2015,1282.5,1291.5,1275.050049,1286.650024,1130.954224,2211366
TCS,07-08-2015,1286.5,1286.5,1273.5,1276.030029,1121.619385,1188506
TCS,10-08-2015,1286,1294.5,1278.300049,1286.050049,1130.42688,1431182
TCS,11-08-2015,1289,1305,1271.050049,1302.099976,1144.534668,2200306
TCS,12-08-2015,1301.550049,1345.699951,1301,1335.849976,1174.200684,3479784
TCS,13-08-2015,1335,1342,1278,1317.800049,1158.334961,1406426
TCS,14-08-2015,1319,1359.680054,1318.550049,1351.599976,1188.044678,2293964
TCS,17-08-2015,1345.050049,1348.400024,1327.5,1342.380005,1179.940308,773644
TCS,18-08-2015,1353.449951,1374.949951,1345,1370.449951,1204.613403,1916926
TCS,19-08-2015,1375,1376.430054,1360.949951,1366.800049,1201.405396,1690070
TCS,20-08-2015,1372.5,1372.5,1336,1343.430054,1180.863281,2349298
TCS,21-08-2015,1356,1364.949951,1327.550049,1338.069946,1176.151978,3536080
TCS,24-08-2015,1319.5,1322.5,1284.550049,1289.319946,1133.301025,4692344
TCS,25-08-2015,1293.949951,1311,1267.75,1283.569946,1128.246582,3925800
TCS,26-08-2015,1279.030029,1319.5,1255.969971,1288.380005,1132.474854,3216158
TCS,27-08-2015,1307.449951,1307.449951,1272.900024,1287.319946,1131.542847,5264798
TCS,28-08-2015,1304.5,1304.5,1278.849976,1285.430054,1129.881714,2744152
TCS,31-08-2015,1295,1295,1265.530029,1282.030029,1126.893066,3692044
TCS,01-09-2015,1278,1305.599976,1265,1268.699951,1115.176147,2987602
TCS,02-09-2015,1279.849976,1310.219971,1274,1295.900024,1139.084595,3765950
TCS,03-09-2015,1298.050049,1307.5,1288.119995,1302.800049,1145.149902,2265074
TCS,04-09-2015,1305.699951,1307.449951,1269.569946,1273.719971,1119.588745,2426396
TCS,07-09-2015,1276.5,1279.969971,1266.349976,1269.880005,1116.213379,1759184
TCS,08-09-2015,1272.5,1282.050049,1261.75,1270.150024,1116.450684,1787746
TCS,09-09-2015,1281.469971,1287,1272,1274.880005,1120.608521,2045076
TCS,10-09-2015,1271,1289.25,1263.5,1272.699951,1118.692139,2665818
TCS,11-09-2015,1273.25,1284.199951,1270.300049,1276,1121.592896,1592672
TCS,14-09-2015,1282.5,1282.5,1271.5,1275.819946,1121.434814,1589318
TCS,15-09-2015,1275.819946,1279.449951,1268,1268.619995,1115.105835,1379900
TCS,16-09-2015,1277.5,1282.5,1270.530029,1275.180054,1120.871948,1756816
TCS,18-09-2015,1282.5,1293,1269.5,1275.619995,1121.259033,2455294
TCS,21-09-2015,1275,1278.550049,1266.599976,1275.530029,1121.179565,1108840
TCS,22-09-2015,1278.75,1286.199951,1245,1263.400024,1110.517334,2081246
TCS,23-09-2015,1267.150024,1278.880005,1256.300049,1266.319946,1113.084229,1228352
TCS,24-09-2015,1267.75,1295,1264.949951,1290.199951,1134.074829,2354254
TCS,28-09-2015,1297,1309.5,1289.75,1296.849976,1139.9198,2366812
TCS,29-09-2015,1291.680054,1317,1284.930054,1294.119995,1137.519897,3325952
TCS,30-09-2015,1321.849976,1321.849976,1285.469971,1294.030029,1137.441162,3368336
TCS,01-10-2015,1299.5,1324.969971,1296.099976,1322.300049,1162.289917,2834408
TCS,05-10-2015,1326.349976,1385,1326.349976,1355.819946,1191.754028,4807306
TCS,06-10-2015,1362.5,1363,1342,1350,1186.638306,3979590
TCS,07-10-2015,1346.969971,1358.5,1323.469971,1326.969971,1166.39502,2065530
TCS,08-10-2015,1335,1339.180054,1310,1316.900024,1157.543701,2357550
TCS,09-10-2015,1325.25,1325.300049,1304,1314.819946,1155.715332,2249724
TCS,12-10-2015,1327.5,1330.180054,1293.5,1296.300049,1139.436157,2455912
TCS,13-10-2015,1301.400024,1306,1283.800049,1299.280029,1142.055786,6179712
TCS,14-10-2015,1274,1274,1240,1241.849976,1091.575195,8337128
TCS,15-10-2015,1245,1251.75,1232.5,1233.880005,1084.569824,3215710
TCS,16-10-2015,1240.449951,1246,1235,1236,1086.433105,2333828
TCS,19-10-2015,1245,1247.469971,1227.930054,1244.380005,1093.799194,3130642
TCS,20-10-2015,1248.119995,1265,1247.800049,1263.380005,1110.5,2695084
TCS,21-10-2015,1267.5,1271,1261.119995,1265,1116.785767,1929688
TCS,23-10-2015,1274,1274,1263.650024,1268.569946,1124.827759,2335398
TCS,26-10-2015,1274.5,1274.5,1257.550049,1268.280029,1124.570801,1414630
TCS,27-10-2015,1265.030029,1272.449951,1260.180054,1265.550049,1122.150146,1530420
TCS,28-10-2015,1255.030029,1266.780029,1255.030029,1264.550049,1121.263794,1255342
TCS,29-10-2015,1266.780029,1267.699951,1245.030029,1247.680054,1106.305176,3130316
TCS,30-10-2015,1250,1255.949951,1242.5,1247.599976,1106.234375,1516696
TCS,02-11-2015,1250,1261.400024,1243.780029,1258.680054,1116.058594,1319294
TCS,03-11-2015,1264,1273.900024,1259.25,1271.719971,1127.620972,1364906
TCS,04-11-2015,1272.5,1273.599976,1260,1266.900024,1123.347046,991434
TCS,05-11-2015,1265.400024,1267.469971,1240,1241.319946,1100.665649,1596098
TCS,06-11-2015,1246,1259.119995,1241.719971,1252.880005,1110.915527,908024
TCS,09-11-2015,1247.5,1251.380005,1234.300049,1235.680054,1095.664795,2021556
TCS,10-11-2015,1236.469971,1238.5,1225,1229.069946,1089.803833,1361920
TCS,13-11-2015,1219.030029,1219.030029,1193.280029,1198.699951,1062.874756,2743232
TCS,16-11-2015,1195,1195,1178,1187.300049,1052.766968,2043528
TCS,17-11-2015,1190.25,1199.219971,1187.5,1195.280029,1059.842529,1985028
TCS,18-11-2015,1194.449951,1194.449951,1173,1175.719971,1042.498779,1520352
TCS,19-11-2015,1182.680054,1190.800049,1176,1181.280029,1047.428955,1866906
TCS,20-11-2015,1183.25,1211.780029,1180.969971,1199.180054,1063.300537,2012126
TCS,23-11-2015,1202.650024,1206.699951,1191.119995,1195.530029,1060.064331,1088082
TCS,24-11-2015,1190.030029,1196.219971,1182.75,1183.969971,1049.814209,998640
TCS,26-11-2015,1188.949951,1191.199951,1168.930054,1172.780029,1039.891968,2915292
TCS,27-11-2015,1174,1179.719971,1166.25,1176.680054,1043.350098,1737206
